hotelId,Hotel_name,Address,City,Latitude,Longitude,Property_type,Room_status,Price,Currency,Rating,Final_rating
OIACVSKX,Rooms 170 Shadipur Metro Station,West Patel Nagar,Unknown,,,hotel,,2999,INR,1675,5.0
OIHIEFDK,Rooms 365 Indra Gandhi Airport Main Road,"Next to Hotel Radisson, Near IGI Airport, Rangpuri",Unknown,,,hotel,,2599,INR,1342,5.0
OIZSKBNA,Rooms 088 East Patel Nagar,Near Metro Pillar No.161,Unknown,,,hotel,,1299,INR,957,4.8
OIXQFKMQ,Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,Delhi,,,hotel,,3749,INR,1603,5.0
OIIKJNFU,Rooms 014 New Friends Colony Crossroad,CV Raman Marg,Unknown,,,hotel,,1399,INR,494,3.0
OIEJEQHD,Rooms 560 Vasant Vihar 2,Rao Tula Ram Marg,Unknown,,,hotel,,2749,INR,1965,5.0
OIGXRVBO,Homes 520 GK 1 M Block Market,Greater Kailash 1,Unknown,,,hotel,,1199,INR,1271,5.0
OIXKHBMC,Elite 557 Panchsheel Enclave,Panchshila Park,Unknown,,,hotel,,1349,INR,2655,5.0
OIZKAUXV,Rooms 253 New Friends Colony 2,New Friends colony,Unknown,,,hotel,,3349,INR,644,3.6
OIXQUTSL,Rooms 169,Vasant Kunj,Unknown,,,hotel,,1949,INR,1603,5.0
OIGSKTCG,Rooms 585,"Sector 10 Dwarka, In front of metro station",Unknown,,,hotel,,1099,INR,207,1.8
OIIJEXTV,Homes 275 Saket J Block,Saket,Unknown,,,hotel,,3549,INR,1682,5.0
OIUOTXKG,Premium 534 Dwarka,Dwarka Palam Road,Unknown,,,hotel,,2249,INR,60,1.2
